Guichet 1;Guichet 2
1:00:30;1:00:15
1:07:41;1:01:30
;1:05:33
1:22:20;1:07:13
1:27:30;1:10:16
1:31:55;1:13:25
1:47:02;1:14:25
1:50:42;1:22:25
1:52:20;1:26:35
1:56:17;1:28:15
1:59:51;1:29:05
2:03:15;1:30:02
2:04:20;1:31:40
2:05:30;1:37:37
2:07:21;1:39:37
2:10:19;1:40:22
2:15:30;1:41:30
2:18:47;1:45:53
2:22:37;
2:26:36;1:53:51
2:28:05;1:54:40
2:30:30;1:56:35
2:34:40;2:10:27
2:35:35;2:12:35
2:37:29;2:13:49
2:39:32;2:19:36
2:40:36;2:23:04
2:42:16;2:25:39
2:43:45;2:27:33
2:46:49;2:28:46
2:49:05;2:30:59
2:54:08;2:34:58
2:54:49;2:43:05
2:56:52;2:45:43
2:58:33;2:46:00
3:00:23;2:49:30
3:01:22;2:51:28
;2:54:05
3:04:04;2:58:02
3:08:41;2:58:45
3:12:47;
3:14:50;2:59:20
3:17:37;3:02:59
3:18:42;3:08:58
3:26:30;3:11:24
3:29:40;3:17:27
3:30:50;3:22:30
3:33:48;3:24:22
3:36:29;3:27:47
3:38:04;
3:38:55;3:30:02
3:43:40;3:32:08
3:44:05;3:33:31
;3:35:03
3:49:13;3:35:28
3:50:30;3:39:53
;
;03:43:35
;03:47:01
;03:47:11
;03:50:25
;03:51:18
