Guichet 1;Guichet 2
1:00:25;1:00:03
1:04:24;1:04:14
1:06:50;1:10:08
1:14:01;1:14:50
1:14:38;1:21:32
1:17:51;1:23:25
1:23:45;
1:24:50;1:38:02
1:26:37;1:39:07
1:28:06;
1:28:36;1:39:46
;1:52:53
1:31:33;
1:32:44;1:58:18
1:33:55;2:07:03
1:36:11;2:08:22
1:38:10;
1:44:15;2:09:48
1:45:27;2:11:48
;
1:49:22;2:14:56
1:52:40;2:21:30
;2:24:54
1:57:46;2:27:28
1:58:04;2:31:55
;2:33:25
1:59:54;
2:01:40;2:42:13
;2:47:28
2:11:39;2:51:47
2:15:40;
2:17:07;2:57:53
2:18:19;2:58:28
;3:03:41
2:20:43;3:10:45
2:25:23;3:17:32
2:29:28;
2:31:19;3:18:20
2:37:05;3:24:13
;3:31:48
2:38:57;3:39:44
2:42:06;3:57:43
;
2:43:01;
2:48:05;
;
2:51:42;
2:56:20;
;
3:00:45;
3:01:42;
3:04:19;
3:06:09;
3:07:34;
3:07:49;
3:08:51;
3:14:27;
3:16:12;
;
3:16:53;
3:18:03;
;
3:21:21;
3:24:26;
;
3:26:27;
3:28:31;
;
3:29:20;
3:34:19;
3:39:10;
3:45:41;
3:47:16;
3:49:43;
3:50:34;
3:54:18;
3:57:36;
