Guichet 1;Guichet 2
8:56:39;10:17:00
9:00:46;10:24:00
9:03:20;10:25:32
9:07:10;10:28:49
9:14:37;10:31:54
9:16:43;10:37:37
9:19:52;10:40:58
9:33:23;10:42:21
9:36:34;
9:39:56;10:43:23
9:42:26;10:48:27
9:44:49;10:53:50
;10:57:35
9:47:08;10:57:59
9:51:12;10:59:50
9:53:58;11:03:28
9:59:35;11:05:02
10:05:17;11:05:49
10:07:15;
10:11:04;11:07:43
10:12:43;11:13:45
10:24:28;
10:28:31;
10:34:47;
10:39:58;
10:43:52;
;
10:56:17;
10:58:36;
11:05:19;
11:08:58;
11:16:06;
11:18:42;
11:21:02;
11:22:23;
11:23:02;
11:25:30;
11:30:21;
11:33:31;
11:35:04;
11:36:21;
11:40:09;
11:52:32;
