Guichet 1;Guichet 2
0:56:32;0:56:23
1:00:49;0:57:46
1:07:35;1:05:04
1:09:01;1:08:19
1:10:03;1:11:52
1:15:01;1:13:06
;1:13:40
1:16:22;1:14:58
1:22:06;
;1:15:30
1:24:01;1:20:11
1:24:39;
;1:27:00
1:29:35;1:28:50
1:31:37;
;1:49:32
1:39:02;1:53:28
1:41:30;1:55:20
;2:02:06
1:42:23;2:04:46
1:45:11;2:05:35
;2:10:37
1:47:02;2:13:39
1:49:47;2:15:15
;2:17:56
1:50:58;2:19:38
1:56:23;2:25:20
1:59:32;2:26:33
2:05:07;
2:15:38;2:28:02
2:20:34;2:31:14
2:25:14;2:34:13
2:28:26;2:35:26
2:33:25;2:35:57
;
2:35:38;2:36:28
2:37:22;2:37:43
;
2:41:47;2:39:43
2:44:33;2:40:36
2:48:55;2:51:12
2:52:09;3:05:06
2:55:25;3:06:52
3:02:27;3:08:02
3:02:45;3:12:22
3:04:43;3:14:06
3:06:47;3:17:33
3:08:01;3:20:16
;3:26:40
3:14:12;3:33:03
3:19:37;3:33:55
3:23:14;3:34:58
;3:38:02
3:25:09;
3:28:16;3:39:53
3:29:14;3:40:48
;3:45:22
3:30:43;3:46:37
3:35:35;3:47:42
3:41:13;
;3:52:55
3:41:51;3:54:26
3:44:08;
3:47:28;
3:50:58;
3:52:16;
3:55:25;
