A;B
08:59:00;09:24:37
09:02:27;09:26:09
09:05:32;09:28:57
;
09:07:15;09:32:29
09:09:43;09:33:50
09:19:29;09:37:48
09:23:58;
09:28:45;09:38:32
09:32:50;09:39:17
;
09:39:17;09:40:05
09:43:41;09:42:11
09:55:44;
09:58:16;10:40:07
10:01:27;10:42:14
10:02:15;10:43:32
10:03:48;10:49:19
10:06:40;10:59:57
10:07:03;11:02:27
;11:14:16
10:07:33;11:16:39
10:07:47;
;11:23:28
10:08:44;11:27:03
10:10:17;
10:12:32;11:28:05
10:20:49;11:29:10
10:23:01;11:30:32
10:24:47;11:36:13
10:28:55;11:39:36
10:30:58;11:43:17
10:37:10;
10:40:35;11:44:48
10:42:55;11:50:29
10:44:57;11:56:58
10:46:23;
;
10:52:24;
10:54:03;
;
11:03:02;
11:04:40;
11:08:04;
11:10:29;
11:16:00;
11:18:31;
11:24:27;
11:27:19;
11:31:48;
11:41:06;
11:43:13;
11:46:14;
11:50:58;
11:55:42;
